feature,family,information_gain,random_forest_importance,xgboost_importance,information_gain_rank,random_forest_importance_rank,xgboost_importance_rank,mean_rank
gfcc_delta_6_mean,gfcc_delta,1.5009684324336443,0.00536241604397876,0.0048514064,167,55,110,110.66666666666667
mfcc_delta_6_mean,mfcc_delta,1.5013166284967356,0.0052910759936958965,0.004933172,164,67,102,111.0
mfcc_delta2_0_mean,mfcc_delta2,1.5024551452607948,0.00553023171186692,0.004465831,151,39,148,112.66666666666667
mfcc_delta_0_mean,mfcc_delta,1.5065846161975331,0.005108511750670911,0.0045190556,85,122,143,116.66666666666667
chroma_5_mean,chroma,1.5027506863216016,0.005334344972449481,0.0045187413,147,61,144,117.33333333333333
gfcc_delta2_9_mean,gfcc_delta2,1.5013447836756986,0.005232619072287939,0.0048969993,163,87,103,117.66666666666667
mfcc_9_std,mfcc,1.5070606381996534,0.005110916027095087,0.004393807,78,121,154,117.66666666666667
chroma_10_mean,chroma,1.504101938955204,0.004969199129887344,0.0052488046,132,143,80,118.33333333333333
gfcc_delta2_6_std,gfcc_delta2,1.5068474434425052,0.004943638502105873,0.0046886033,82,147,126,118.33333333333333
gfcc_delta2_8_mean,gfcc_delta2,1.505240709997654,0.0053477269089377685,0.004073912,117,59,179,118.33333333333333
gfcc_0_mean,gfcc,1.5010350459341617,0.004449497469054712,0.0073636062,165,188,6,119.66666666666667
chroma_9_mean,chroma,1.5069514334694472,0.004763449678150485,0.0047650584,80,160,121,120.33333333333333
mfcc_delta_1_mean,mfcc_delta,1.5060449328005299,0.005253373794722371,0.0038159376,101,80,184,121.66666666666667
mfcc_delta_7_mean,mfcc_delta,1.5057632797604992,0.005285922354657164,0.0037015802,109,71,187,122.33333333333333
gfcc_delta_3_std,gfcc_delta,1.5093966751788872,0.004724860885792959,0.0042567295,44,165,159,122.66666666666667
mfcc_delta2_4_mean,mfcc_delta2,1.5067913328870204,0.00514978885931079,0.0040167733,84,111,181,125.33333333333333
rms_mean,rms,1.50439069991835,0.004668721041968903,0.005271204,127,173,76,125.33333333333333
mfcc_delta_8_mean,mfcc_delta,1.5001594409112962,0.005183430079372254,0.004860691,172,99,107,126.0
mfcc_delta_2_mean,mfcc_delta,1.5023829057277265,0.005206978517560931,0.004602001,153,93,133,126.33333333333333
gfcc_delta_4_mean,gfcc_delta,1.5084796218013068,0.005016525758167903,0.0037120273,59,136,186,127.0
gfcc_8_std,gfcc,1.5063599657760176,0.0046331434462223734,0.004847803,94,177,111,127.33333333333333
mfcc_delta2_12_std,mfcc_delta2,1.4989121295006096,0.0055537414408228,0.0042014234,180,37,165,127.33333333333333
gfcc_delta2_5_mean,gfcc_delta2,1.5043144112863769,0.005067834836961684,0.0047027855,129,130,125,128.0
f0_mean,f0,1.4189307533906297,0.0048702425349185915,0.005906493,192,153,43,129.33333333333334
mfcc_delta2_10_std,mfcc_delta2,1.506231332297485,0.0051318525323337735,0.0040924926,96,118,176,130.0
gfcc_delta2_2_std,gfcc_delta2,1.5092234647507405,0.0047088999543482765,0.004034362,45,166,180,130.33333333333334
gfcc_11_std,gfcc,1.506417673185594,0.004677994369774776,0.004602601,90,170,132,130.66666666666666
mfcc_delta2_3_std,mfcc_delta2,1.4985011777108936,0.00519225850087367,0.004807338,183,95,114,130.66666666666666
gfcc_delta2_7_mean,gfcc_delta2,1.5032966406034134,0.005080993397094915,0.00476113,144,128,122,131.33333333333334
gfcc_delta_11_mean,gfcc_delta,1.5040869245854693,0.005117721386420359,0.0045203506,133,119,142,131.33333333333334
chroma_9_std,chroma,1.5022539647943618,0.005108017335311879,0.0047808555,155,123,118,132.0
gfcc_4_std,gfcc,1.5051202176515586,0.004830547055639899,0.0047690817,120,157,120,132.33333333333334
mfcc_8_std,mfcc,1.4994571592678885,0.005102281106346945,0.005014665,179,125,96,133.33333333333334
gfcc_delta_12_std,gfcc_delta,1.505479908377687,0.005085694095430479,0.0042326413,114,127,160,133.66666666666666
gfcc_delta_9_std,gfcc_delta,1.4980580350312636,0.004168505955806337,0.006339695,184,192,26,134.0
mfcc_0_mean,mfcc,1.5030446662890176,0.00469683432248835,0.005036353,146,167,93,135.33333333333334
mfcc_delta_5_std,mfcc_delta,1.500075440682886,0.005238547717104489,0.0045122104,175,86,145,135.33333333333334
gfcc_9_std,gfcc,1.5018905651985195,0.004509326409262914,0.0054971785,159,185,67,137.0
gfcc_delta2_6_mean,gfcc_delta2,1.5015729517119978,0.004999189926127137,0.004834103,160,139,112,137.0
gfcc_delta_2_std,gfcc_delta,1.5083320906882267,0.004612432547025902,0.004074873,60,179,178,139.0
gfcc_7_std,gfcc,1.5086959403710285,0.004504028500746871,0.004081568,55,186,177,139.33333333333334
mfcc_delta2_5_mean,mfcc_delta2,1.5027061245047404,0.005149671757203331,0.004218172,148,112,163,141.0
mfcc_delta2_2_mean,mfcc_delta2,1.500283699545678,0.00517186456639076,0.0044304235,170,104,150,141.33333333333334
gfcc_delta2_11_mean,gfcc_delta2,1.4965321389223394,0.005175160270859503,0.0045833606,187,102,135,141.33333333333334
gfcc_delta_9_mean,gfcc_delta,1.5050217156761039,0.00501378467109856,0.0041995603,121,138,166,141.66666666666666
gfcc_delta_5_mean,gfcc_delta,1.501519931434622,0.0051632575062954935,0.004220601,161,106,162,143.0
chroma_11_std,chroma,1.5057222554334722,0.004851232022831465,0.004210951,110,155,164,143.0
mfcc_delta2_7_mean,mfcc_delta2,1.4964532292909611,0.005189779829236213,0.0044193263,188,96,151,145.0
mfcc_delta2_9_mean,mfcc_delta2,1.503523993825998,0.005087724459644595,0.004128615,140,126,171,145.66666666666666
gfcc_delta2_12_mean,gfcc_delta2,1.500327216854787,0.0052415864400719055,0.0038310373,169,85,183,145.66666666666666
gfcc_delta2_1_mean,gfcc_delta2,1.4979698772711076,0.005155145410564265,0.004409162,185,109,152,148.66666666666666
gfcc_delta_0_mean,gfcc_delta,1.5031718802171352,0.004956799071058653,0.0043169614,145,145,156,148.66666666666666
gfcc_delta2_5_std,gfcc_delta2,1.5049638379832135,0.004789990559573062,0.0041356306,123,159,169,150.33333333333334
mfcc_delta_4_mean,mfcc_delta,1.5022425053156154,0.00511135185846242,0.0040980256,156,120,175,150.33333333333334
mfcc_delta2_3_mean,mfcc_delta2,1.4908520303990316,0.0052681871450947874,0.0034809809,190,76,189,151.66666666666666
gfcc_delta2_2_mean,gfcc_delta2,1.5022260060443526,0.005135715561846657,0.0038069051,157,117,185,153.0
mfcc_delta2_1_mean,mfcc_delta2,1.5015001125587684,0.004962560697356056,0.004117252,162,144,173,159.66666666666666
mfcc_7_std,mfcc,1.500097116133877,0.005015343285710725,0.0041243243,174,137,172,161.0
gfcc_delta_11_std,gfcc_delta,1.500621643351647,0.0046836341268623695,0.004503456,168,169,147,161.33333333333334
spectral_flux_mean,spectral_flux,1.5021325296061776,0.004675030660651512,0.004299526,158,171,158,162.33333333333334
gfcc_delta_8_std,gfcc_delta,1.5054771953092017,0.004583107863748362,0.0032602774,115,182,192,163.0
gfcc_12_std,gfcc,1.5033780100841894,0.004549924587935383,0.0041156746,143,183,174,166.66666666666666
gfcc_0_std,gfcc,1.499736418469217,0.004634887750379016,0.004376956,177,176,155,169.33333333333334
